,word,freq
0,친구,451
1,경찰,451
2,한강,365
3,신발,304
4,손정민,290
5,라디오,286
6,방탄,280
7,십오야,264
8,실종,260
9,대학생,238
10,기자,223
11,사망,212
12,사고,199
13,제보,197
14,라이브,191
15,연합,188
16,확인,188
17,내용,184
18,상황,182
19,선물,182
20,수비드,180
21,공원,178
22,출장,176
23,당시,175
24,부대,174
26,홈페이지,164
25,오토바이,164
27,대통령,161
28,코로나,156
29,세계,148
30,서울,138
31,아버지,136
32,시민,134
33,확보,133
34,관련,132
35,프로,127
36,포함,126
37,보고,126
38,손현,125
39,인도,121
40,앵커,120
41,블랙박스,119
42,목격자,117
43,발견,117
44,강철,115
45,시작,112
46,브이,112
47,사실,110
48,현장,106
49,롯데,106
