,keyword,count
0,브레이브걸스,366
1,롤린,284
2,미나리,156
3,꼬꼬,152
4,사랑,143
5,요리,139
6,이나래,136
7,송중기,129
8,펜트하우스,128
9,아빠,127
10,먹방,116
11,퀴즈,112
12,스튜디오,108
13,몰카,102
14,이유,97
15,역주행,95
16,박나래,92
17,홍진경,88
18,수비드,88
19,아이돌,87
20,별빛,86
21,드라마,84
22,그램,81
23,만들기,80
24,뉴스,80
25,다시,79
26,임영웅,76
27,병맛,74
28,교육,73
29,로제,72
30,슈퍼주니어,72
31,택배,72
32,운동,71
33,라이브,70
34,손흥민,68
35,와플,68
36,국장,67
37,사용,67
40,대통령,64
38,꼬리,64
39,더빙,64
41,음악,63
42,댄스,62
43,모음,62
44,유정,61
45,철원,60
46,앵콜,60
47,코빅,60
48,시청,60
49,음식,59
