,keyword,count
0,아이유,302
1,박수홍,285
2,브레이브걸스,229
3,대통령,222
4,롤린,214
5,경기,203
6,친구,201
7,흥국생명,181
8,김연경,181
9,상황,176
10,출산,168
11,경제,160
13,미얀마,159
12,브이,159
14,병맛,148
15,퀴즈,147
16,로그,146
17,치킨,144
18,보고,144
19,마사,139
20,라일락,138
21,친형,137
22,배달,134
23,부대,133
25,제보,130
24,조선,130
26,시작,129
27,직접,128
28,가족,127
29,라면,121
30,다이어트,120
31,뿌리,119
32,남자,118
33,정수기,118
34,대해,118
35,다홍,117
36,블루,117
37,오후,116
38,축구,114
39,주가,114
40,대한민국,112
41,꽈뚜룹,112
42,슈퍼주니어,110
43,드라마,110
44,준비,109
45,기자,109
46,진짜,108
47,금요일,108
48,관련,108
49,스푼,108
