,keyword,count
0,브레이브걸스,1196
1,롤린,950
2,대통령,435
3,병맛,420
4,수비드,420
5,펜트하우스,417
6,아빠,383
7,퀴즈,377
8,조개,360
9,다이어트,319
10,배달,311
11,슈퍼주니어,309
13,진짜,305
12,더빙,305
14,경기,294
15,시작,283
16,운동,281
17,채취,280
18,댄스,279
19,어스,278
20,선물,270
21,친구,268
22,아이돌,261
23,쓰레기,261
24,블럭,261
25,목적,259
26,저작권,255
27,캠핑,250
28,해당,245
29,저녁,241
30,어민,240
31,뿌리,240
32,남자,239
33,서울,239
34,샾잉,239
37,진행,238
38,준비,238
36,홈페이지,238
35,보고,238
39,저희,237
40,제보,234
41,김밥,232
42,모습,229
43,확인,228
44,치킨,223
45,도움,223
46,소금,222
47,택배,219
48,클립,219
49,양념,218
