,word,freq
0,실종,443
1,한강,371
2,대통령,288
3,대학생,283
4,경찰,257
5,발견,190
6,포함,189
7,친구,182
8,공원,178
9,기자,169
10,서울,158
11,아버지,142
12,스페셜,136
13,손정민,133
14,세계,133
15,하이라이트,132
16,유료,130
17,확인,129
18,댄스,128
19,관련,127
20,수비드,123
21,꼬리,122
22,출장,120
23,십오야,120
24,프로,120
25,가족,119
26,윤여정,110
27,코로나,104
28,대해,104
29,러시아,102
30,컨텐츠,101
31,신발,100
32,라이브,98
33,홈페이지,98
34,강연,98
35,직접,97
36,모습,96
37,월세,96
38,아들,95
39,그날,92
40,마피아,88
41,내용,88
42,보고,86
43,의대,85
44,정민,85
45,샾잉,84
46,하와,84
47,명수,84
48,시작,82
49,반포,82
