,word,freq
0,친구,388
1,한강,376
2,실종,328
3,경찰,295
4,라디오,270
5,부대,238
6,대학생,236
7,사고,208
8,서울,207
9,공원,199
10,아들,199
11,하이라이트,195
12,아버지,193
13,기자,191
14,인터뷰,178
15,손정민,169
16,대통령,168
17,오토바이,160
18,확인,155
19,발견,149
20,강철,145
21,신발,144
22,정민,142
23,롯데,139
24,포함,139
25,제보,136
26,홈페이지,132
27,보고,131
28,퀴즈,121
29,당시,121
30,주장,121
31,내용,119
32,마피아,111
33,백화점,109
34,블랙박스,103
35,최고,102
36,진행,102
37,손씨,101
38,브레이브걸스,100
39,세계,99
40,아침,96
41,프로,94
42,라이선스,94
43,유료,93
44,블럭,92
45,오후,92
46,휴대전화,90
47,상황,88
48,관련,88
49,경제,88
