,word,freq
0,친구,2052
1,손정민,1283
2,삼성,1221
3,한강,1186
4,뉴스,1043
5,실종,872
6,프로,784
7,경찰,786
8,공원,728
9,붕어빵,666
10,가지,653
11,확인,633
12,경제,621
13,손씨,612
14,갤럭시,607
15,목격자,586
16,홈페이지,574
17,스푼,563
18,오이,542
19,임영웅,531
20,상황,536
21,맛집,527
22,연결,518
26,가족,489
25,십오야,486
24,출장,483
23,연합뉴스,481
27,마이걸,460
28,새벽,464
29,제보,462
30,당일,433
31,대통령,310
32,십오야,368
33,당시,365
34,내용,348
35,인터뷰,341
36,시작,338
37,나래,326
39,오토바이,324
38,인도,324
40,확보,322
41,강철,305
42,부대,397
43,포함,289
44,진행,288
45,수신,273
46,프로,267
47,정민,266
48,시민,260
49,세계,260
