,word,freq
0,친구,702
1,손정민,445
2,경찰,409
3,한강,392
4,실종,312
5,제보,235
6,공원,209
7,목격자,208
8,연합,208
9,라디오,206
10,아버지,197
11,신발,194
12,새벽,190
13,사고,188
14,가족,182
15,라이브,180
16,상황,174
17,대학생,173
18,사망,171
19,홈페이지,162
20,방탄,152
21,인도,148
22,코로나,148
23,확인,145
25,오토바이,144
24,십오야,144
26,확보,140
27,기자,139
28,아들,135
29,대한,133
30,수비드,132
31,부대,127
32,당시,126
33,시작,123
34,모습,123
35,마이걸,122
36,서울,115
37,인터뷰,114
38,진술,112
39,손현,112
40,바로,111
41,선물,110
42,대한민국,109
43,조사,108
44,대통령,105
45,배달,104
46,당일,104
47,내용,104
48,진행,104
49,손씨,101
