,word,freq
0,친구,554
1,경찰,535
2,한강,458
3,라디오,437
4,손정민,392
5,신발,372
6,실종,315
7,대학생,279
8,기자,277
9,방탄,257
10,사망,251
11,제보,242
12,십오야,240
13,선물,236
14,연합,235
15,공원,232
16,사고,227
17,확인,225
18,수비드,225
19,내용,223
20,부대,220
21,상황,215
22,코로나,208
23,홈페이지,208
24,라이브,200
26,손현,198
25,시민,198
27,대통령,196
28,당시,192
29,오토바이,191
30,아버지,188
31,세계,175
32,카네이션,160
33,출장,160
34,인터뷰,160
35,서울,158
36,프로,156
37,아들,155
38,확보,153
39,포함,151
40,발견,149
41,인도,147
42,아침,146
43,보고,145
44,강철,145
45,롯데,142
46,시작,142
47,관련,142
48,수사,142
49,목격자,140
