,word,freq
0,친구,564
1,손정민,426
2,경찰,413
3,한강,347
4,라디오,259
5,실종,251
6,신발,233
7,제보,229
8,아버지,213
9,공원,200
10,사망,180
11,수비드,180
12,대학생,178
13,홈페이지,167
14,목격자,165
15,대한,163
16,연합,162
17,부대,159
18,기자,159
19,손현,152
20,상황,149
21,경제,145
22,사고,143
23,대통령,143
24,시작,142
25,확인,138
26,인터뷰,135
27,선물,132
28,라이브,132
29,아들,131
30,내용,129
31,발견,128
32,엄마,125
33,바로,125
34,포함,124
35,당시,124
39,티빙,120
38,휴대전화,120
37,캠프,120
36,스프링,120
40,진행,118
41,대한민국,117
42,새벽,116
43,강철,114
44,정민,112
45,확보,111
46,수사,111
47,오후,110
48,서울,109
49,코로나,107
