,word,freq
0,친구,462
1,경찰,442
2,한강,363
3,신발,302
4,실종,301
5,방탄,280
6,십오야,264
7,수비드,243
8,대학생,229
9,사망,210
10,사고,208
11,손정민,205
12,확인,199
13,당시,192
14,오토바이,190
15,서울,181
16,연합,179
17,내용,177
18,출장,176
19,기자,175
20,제보,174
21,공원,164
22,대통령,164
23,라이브,163
24,아버지,146
25,블랙박스,142
26,부대,139
27,포함,136
28,하이라이트,133
29,확보,124
30,선물,124
31,현장,123
32,프로,123
33,홈페이지,122
34,관련,121
35,발견,121
36,브이,117
37,보고,115
38,시작,114
39,목격자,112
40,퀴즈,111
41,오븐,110
42,강철,109
43,고기,109
44,수사,109
45,뺑소니,108
46,상황,106
47,바로,106
48,유료,106
49,오후,104
