,word,freq
0,한강,583
1,친구,578
2,실종,508
3,라디오,385
4,경찰,372
5,대학생,370
6,기자,332
7,공원,323
8,부대,288
9,손정민,283
10,아버지,280
11,아들,272
12,발견,267
13,서울,251
14,정민,241
15,확인,235
16,신발,225
17,인터뷰,220
18,대통령,212
19,제보,185
20,보고,182
21,하이라이트,182
22,홈페이지,182
23,세계,179
24,포함,176
26,라이선스,175
25,브레이브걸스,175
27,휴대전화,170
28,백화점,170
29,경제,166
30,강철,165
31,내용,161
32,사건,158
33,아침,150
34,앵커,150
35,마피아,148
36,롯데,140
37,제기,140
38,주장,138
39,관련,135
40,스푼,135
41,프로,132
42,손씨,132
43,설명,130
44,진행,130
45,퀴즈,128
46,이후,125
47,병원,124
48,가족,123
49,유료,123
