,keyword,count
0,브레이브걸스,383
1,롤린,296
2,미나리,156
3,이나래,154
4,펜트하우스,148
5,요리,145
6,스튜디오,138
7,송중기,128
8,먹방,121
9,아빠,112
10,사랑,109
11,이유,106
12,몰카,104
13,퀴즈,102
14,수비드,100
15,박나래,97
16,역주행,96
17,다이어트,96
18,뉴스,94
19,만들기,92
20,와플,91
21,사용,91
22,운동,90
23,홍진경,88
24,드라마,88
26,시카고,84
25,병맛,84
27,아이돌,83
28,라이브,81
29,다시,77
30,슈퍼주니어,76
31,꼬꼬,74
32,교육,72
33,음악,72
34,택배,72
35,음식,68
36,해병대,68
37,손흥민,68
39,모음,67
38,사람,67
40,정보,65
41,웃음,64
42,코빅,64
43,블럭,64
44,더빙,62
45,남자,60
46,철원,60
47,앵콜,60
48,코미디빅리그,60
49,대통령,60
