,keyword,count
0,아이유,53
1,롤린,53
2,브레이브걸스,47
3,라일락,35
4,주가,35
5,대통령,32
6,친구,31
7,출산,29
8,고왕,29
9,경제,27
11,병맛,26
10,백현,26
13,퀴즈,25
14,흥국생명,25
15,김연경,25
12,다홍,25
16,꼬리,24
17,세븐,24
18,남자,24
19,멤버,23
20,경기,23
21,시작,23
24,원더,22
25,케이,22
23,뷰티,22
22,준비,22
26,그룹,21
27,상황,21
28,보고,21
29,인간극장,20
30,브이,20
31,한번,20
32,뿌리,20
33,일본,20
39,중국,19
38,증시,19
37,시리즈,19
36,미얀마,19
35,마사,19
34,치킨,19
40,철원,18
41,원우,18
42,아빠,18
43,조선,18
44,로그,18
45,연구소,17
46,국내,17
47,외국인,16
48,진짜,16
49,엑소,16
