,keyword,count
0,브레이브걸스,864
1,롤린,567
2,퀴즈,292
3,아빠,252
4,사랑,251
5,먹방,241
6,요리,234
7,꼬꼬,230
8,역주행,214
9,미나리,196
10,펜트하우스,175
11,이나래,168
12,수비드,167
13,이유,165
14,송중기,164
15,그램,161
16,임영웅,160
17,미국,158
18,뉴스,157
19,별빛,155
20,스튜디오,151
21,아이돌,148
22,유정,148
23,다시,144
24,만들기,141
25,몰카,135
26,슈퍼주니어,131
27,라이브,131
28,교육,127
29,대통령,127
30,모음,124
31,드라마,120
32,로제,119
33,유나,118
34,박나래,116
35,손흥민,116
36,운동,113
37,병맛,112
38,사용,111
39,사람,110
40,홍진경,110
41,브이,109
42,음악,107
43,시청,107
44,쁘걸,104
45,민영,103
46,스타,103
47,브걸,102
48,더빙,102
49,보고,102
