,word,freq
0,한강,356
1,실종,306
2,친구,286
3,대통령,260
4,대학생,254
5,라디오,232
6,공원,185
7,경찰,183
8,인터뷰,178
9,라이선스,176
10,아들,174
11,하이라이트,166
13,포함,162
12,아버지,162
14,발견,152
15,손정민,150
16,기자,150
17,브레이브걸스,140
18,홈페이지,134
19,확인,131
20,제보,129
21,경제,124
22,마피아,122
23,서울,122
26,백화점,120
25,유료,120
24,부대,120
27,관련,116
28,마블,112
29,스페셜,112
30,수비드,111
31,신발,108
32,출장,108
33,십오야,108
34,프로,98
35,아침,96
36,롯데,96
37,진행,91
38,사인,90
39,하루,88
40,시작,88
41,최고,87
42,반포,86
43,손씨,86
44,출연,84
45,직접,84
46,표시,84
47,의대,82
48,오후,81
49,내용,81
