video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"MoL_hSoUimQ","[#습핫습핫] 하윤철은 은별이와 로나의 아빠였....🤯 | 펜트하우스2(Penthouse2) | SBS DRAMA","2021-03-21T01:00:01Z","UC6erIDuvbOaAO-OT5rB2Xew","SBS Drama","24","21.22.03","하윤철|배로나하윤철|펜트하우스이지아|나애교|이지아쌍둥이|이지아나애교|김영대|김현수|주석훈|배로나|김영대김현수|하은별|최예빈|펜트하우스|펜트하우스2|김소연|유진|엄기준|김소연엄기준|펜트하우스다시보기|Penthouse2|EUGENE|金素姸|KimSoyeon|이지아|성악|펜트하우스2 10회|펜트하우스10회","1208065","14408","202","2658","https://i.ytimg.com/vi/MoL_hSoUimQ/default.jpg","False","False","SBS 금토드라마 '펜트하우스 시즌2'☞ 매주 금, 토 밤 10시 본방송#펜트하우스2​ #유진 ​#윤종훈▶ Hompage : https://www.sbs.co.kr/tv/drama​▶ Subscribe SBS Drama : https://bit.ly/2ShWout​"
"n0u7KrjCilI","[나혼자산다 선공개] 프로 주부가 된 키와 태연의 현실 남매 케미♨ 맘카페 정모 아닙니다...☆, MBC 210319 방송","2021-03-19T08:09:02Z","UCYt4Sto4vj6JMMDnEaUB6Iw","나혼자산다 STUDIO","22","21.22.03","MBC|예능|금요예능|나혼자산다|나혼산|독신|1인가족|무지개|무지개회원|자취|솔로|생활|혼술|혼밥|예고|Ilivealone|single|family|solo|rainbow|living|life|Preview","1741447","21314","469","1183","https://i.ytimg.com/vi/n0u7KrjCilI/default.jpg","False","False","★★★More clips are available★★★iMBChttp://www.imbc.com/broad/tv/ent/singlelife/vod/WAVVEhttps://www.wavve.com/player/vod?programid=M_T60377G&page=1"
"oLrwQW8_4os","[예능연구소 4K] 브레이브걸스 직캠 롤린(Rollin') (BraveGirls FanCam) @Show!MusicCore MBC210320방송","2021-03-20T09:48:25Z","UCe52oeb7Xv_KaJsEzcKXJJg","MBCkpop","10","21.22.03","쇼음악중심|음악중심|음중|쇼!음악중심|쇼! 음악중심|쇼음중|쇼음악중심직캠|예능연구소직캠|예능연구소풀캠|예능연구소브레이브걸스|브레이브걸스|BraveGirls|롤린|Rollin'|프로그램|케이팝|가요 아이돌|음악|가요|아이돌|한류|Kpop|Music|Live|Rollin' 쇼음악중심","529838","12873","177","1935","https://i.ytimg.com/vi/oLrwQW8_4os/default.jpg","False","False","Watch more video clips of the Hottest K-POP Stars더 많은 MBC 예능 ↓↓↓ 예능연구소 페이스북☞ https://www.facebook.com/MBCentertain예능연구소 트위터☞ https://twitter.com/MBC_entertain 예능연구소 인스타그램☞ https://www.instagram.com/mbcentertain/예능연구소 포스트☞ https://bit.ly/2CJILPjMBC 예능 보고 또 보고 예능연구소MBC210320방송"
"9jdQwhF-HbY","[나혼자산다 미방분] 키와 민호의 돈독한(?) 우정♨ 샤이니 91라인의 현실 케미?!, MBC 210319 방송","2021-03-19T16:31:27Z","UCYt4Sto4vj6JMMDnEaUB6Iw","나혼자산다 STUDIO","22","21.22.03","나혼자산다|나혼산|키|민호|샤이니|91라인|찐친|김기범|기범|손담비|기안84|장도연|박나래|화사|미방분","1415828","24542","210","1022","https://i.ytimg.com/vi/9jdQwhF-HbY/default.jpg","False","False","★★★More clips are available★★★iMBChttp://www.imbc.com/broad/tv/ent/singlelife/vod/WAVVEhttps://www.wavve.com/player/vod?programid=M_T60377G&page=1"
"VXssRt2U0K4","[선공개] 본투비 아이돌 로제(ROSÉ)x혜리(HYERI)의 댄스 퍼포먼스💃🏻 아는 형님(Knowing bros) 272회","2021-03-20T00:38:28Z","UCOHM2N1YQdb-cHWxJxwBMLQ","아는형님 Knowingbros","24","21.22.03","아는 형님|형님|형님 학교|로제|혜리|월드클래스|파워연예인|솔로데뷔|월클예능감|슈퍼전학생|썸띵|믹스음악퀴즈|흥폭발|댄스|댄스왕|블랙핑크|걸스데이|On_The_Ground|온더그라운드|온더그라운드무대|선공개|아형선공개|아형272회선공개|아형272회|예능|슈퍼주니어|버즈|Knowing bros|Knowing brother|ROSÉ|HYERI|BLACKPINK|Girl's Day|min kyung hoon|kim hee chul|kang ho dong|seo jang hoon|lee soo geun|kim young chul|lee sang min|buzz|superjunior","1473699","82040","559","2832","https://i.ytimg.com/vi/VXssRt2U0K4/default.jpg","False","False","[선공개] 본투비 아이돌 로제x혜리의 댄스 퍼포먼스💃🏻#아는형님 #로제 #혜리오늘 밤 9시 〈아는 형님〉에서 만나요"
"7_oACESG984","히밥과 먹방 대결하다가 가게 날렸습니다... [노사연 노사봉의 노노TV]  Ep.24","2021-03-19T10:00:02Z","UCddnbIPOlI8rrKs2TXPVHSg","노사연 노사봉의 노노TV","24","21.22.03","노노tv","361569","7341","214","650","https://i.ytimg.com/vi/7_oACESG984/default.jpg","False","False","철이 진짜 없었죠...감히 히밥과 먹방 대결을 한다는 게...우리가 밥은 얼마든지 사주지!무심코 내뱉은 한 마디에 큰 코 와장창 깨지는 노노자매오늘 히밥이 '아리랑'가게 다 털었습니다!!!언니들의 저 세상 🔞텐션을 더 보고 싶다면?⏰ 매주 금요일 저녁 7시      구독+좋아요+알림설정+댓글ㄱㄱ#노사연 #노사봉 #노노티비 #히밥 #히밥먹방 #먹방 #먹방대결 #먹방내기 #아리랑"
"D-q6HDjMTA0","Vogue photo shoot vlog","2021-03-21T03:00:31Z","UCNYi_zGmR519r5gYdOKLTjQ","Jennierubyjane Official","22","21.22.03","YG Entertainment|YG|와이지|K-pop|BLACKPINK|블랙핑크|블핑|제니|Jennie|BLINK|블링크|JENNIE Vogue|JENNIE vlog|제니 브이로그|JENNIE photo shoot","1673894","514742","2349","46375","https://i.ytimg.com/vi/D-q6HDjMTA0/default.jpg","False","False","#JENNIE #제니 #Vogue #Photoshoot #Vlog"
"VjaOSteH5zA","[sub] 🧳ep.2-2 레전드탄생, 찐으로 웃다가 눈물나는 새침 경호와 발성낭비 연석의 고요속의 외침! | 🧳출장십오야 ep.2-2 ⛺슬기로운캠핑생활 ep.4-2","2021-03-19T14:10:06Z","UCQ2O-iftmnlfrBuNsUUTofQ","채널 십오야","24","21.22.03","나영석|나PD|아간세|아이슬란드간세끼|이수근|수근세끼|은지원|지원세끼|삼시세끼|세끼|신효정|나피디|묘한이|tvN|라끼남|라면|라면끼리는남자|강호동|양정우|육봉선생|6봉선생|라면먹방|마포멋쟁이|마포|멋쟁이|송민호|표지훈|민호|지훈|피오|MINO|PO|P.O|위너|WINNER|송표|표송|패션|패션유튜버|패션유튜브|삼시네세끼|달나라공약이행프로젝트|달나라프로젝트|달나라|젝스키스|젝키|젝서키|젝스키|이재진|재진|김재덕|재덕|장수원|수원|Sechs Kies|슬의|슬기로운하드털이|슬의생|슬기로운의사생활|신원호|이우정|조정석|정경호|유연석|김대명|전미도|이익준|김준완|안정원|양석형|채송화|용석민|문태유|도재학|이익순|곽선영|신현빈|장겨울|hospitalplaylist|이식당|나홀로이식당|나노|우주|김준|어깨춤|언제까지어깨춤을추게할거야|규현|조규현|조정뱅이|슈퍼주니어|superjunior|슈주|악마는정남이를입는다|악마정남|배정남|조재윤|기쁨라사","1482995","26515","258","2085","https://i.ytimg.com/vi/VjaOSteH5zA/default.jpg","False","False","#likeabird #발성낭비갑 #고요속의외침부르면, 달려 갑니다! 세계최초(?) 예능배달서비스 출장 십오야매주 금요일 밤 10시 50분 tvN풀버전은 유튜브 채널십오야에서!출장 관련 소식은?https://bit.ly/2RpuQEt"
"IyCS5HCGoFQ","[#인기급상승] (풀버전) 브레이브걸스가 유퀴즈에 출연했다💜😆💜 롤린 역주행 신드롬 일으킨 쁘걸 자기님들 30분 모음집 | #유퀴즈온더블럭 #디글","2021-03-18T02:01:00Z","UCWYzc_p0GgfCepIWDHGFmEg","디글 :Diggle","24","21.22.03","Diggle|tvN|tvN D ENT|tvN 예능|youquizontheblock|꼬북좌 유퀴즈|디글 유퀴즈|롤린|롤린역주행|롤린유퀴즈|메보좌 유퀴즈|브레이브걸스|브레이브걸스 민영|브레이브걸스 유나|브레이브걸스 유재석조세호|브레이브걸스 유정|브레이브걸스 유퀴즈|브레이브걸스 은지|브브걸 유퀴즈|쁘걸 유퀴즈|예능 다시보기|유재석|유재석 눈물|유재석 브레이브걸스|유재석 연예대상|유재석 오열|유퀴즈|유퀴즈 98화 다시보기|유퀴즈 개그|유퀴즈 꼬북좌|유퀴즈 눈물|유퀴즈 다시보기|유퀴즈 디글|유퀴즈 레전드|유퀴즈 롤린|유퀴즈 브레이브걸스|유퀴즈 브브걸|유퀴즈 쁘걸|유퀴즈 연기|유퀴즈 유행어|유퀴즈 일반인|유퀴즈 티격태격|유퀴즈 힐링|유퀴즈98화|유퀴즈온더블럭|유퀴즈온더블럭 98화 다시보기|인기급상승|조세호","1809126","23893","418","3045","https://i.ytimg.com/vi/IyCS5HCGoFQ/default.jpg","False","False","#유퀴즈온더블럭 #Diggle #디글유튜브에서 지금 핫한 사람 누구? 人기가 급상승한 人물 모음집Let's giggle, :Diggle!방송국놈들이 덕질하는 채널 '디글'구독하기 ☞ https://www.youtube.com/c/디글Diggle"
"OM1w-8sHRE0","자 이게 점멸이야...T1에서 세계 최고 선생님과 롤 강의  l 서폿차이 프롤로그","2021-03-20T10:00:15Z","UCK3p1wDoQYOkxi414EvBlLw","하하 PD HAHA PD","23","21.22.03","하하|haha|무한도전|런닝맨|무한도전 레전드|런닝맨 레전드|페이커|FAKER|서폿|원딜|롤강의|리그오브레전드|아이언|미드|정글|탑","761280","9966","196","1330","https://i.ytimg.com/vi/OM1w-8sHRE0/default.jpg","False","False","하하가 롤에 도전한다? 대망의 하하PD 새로운 장기 프로젝트!잘 되든 안 되든 ✨서폿차이✨ 프롤로그작가님들! 신입 롤 유튜버 하하 인사드립니다ㅋㅋㅋㅋㅋㅋ우리나라 최고의 명문 구단 T1에서 최고의 선생님을 만나 뵙고 왔습니다...💛원딜💛 구하고 있으니 댓글 달아줘!ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ서폿차이는 매주 목요일 19시에 업로드 됩니다.ㅅㅍㅊㅇ!야만!#롤​ #하하​ #T1"
