video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"4TWR90KJl84","aespa 에스파 'Next Level' MV","2021-05-17T09:00:02Z","UCEf_Bc-KVd7onSeifS3py9g","SMTOWN","10","21.18.05","[none]","28475677","1390136","32123","208030","https://i.ytimg.com/vi/4TWR90KJl84/default.jpg","False","False","aespa's new single Next Level is out!Listen and download on your favorite platform: https://smarturl.it/aespa_NextLevelSubscribe to aespa Official YouTube Channel!https://www.youtube.com/aespa?sub_confirmation=1aespa officialhttps://www.youtube.com/c/aespahttps://www.instagram.com/aespa_officialhttps://www.tiktok.com/@aespa_officialhttps://twitter.com/aespa_Officialhttps://www.facebook.com/aespa.officialhttps://www.vlive.tv/channel/97CCEDhttps://weibo.com/aespa#aespa #æspa #NextLevel #에스파aespa 에스파 'Next Level' MV ℗ SM Entertainment"
"isKp7dSeazw","[골라봐야지] ＂나 약간 좀 어지러워＂ 정반대 수현이 집 상태에 충격받은 찬혁이😂｜독립만세｜JTBC 210517 방송 외","2021-05-17T14:24:23Z","UCF3UEVPt5zZTlBVJwDG317g","JTBC Voyage","24","21.18.05","악뮤|이찬혁|이수현|AKMU|Chanhuyk|Suhyun|남매|친남매|현실남매|정반대|초대|청소|기겁|성격|엄마|본가|공감|모음|모음집|닭볶음탕|잔소리|레전드|예능|먹방|관찰예능|프로그램|Legend|Program|JTBC|JTBC봐야지|골라봐야지|독립만세|Alone Nice","400121","4149","114","291","https://i.ytimg.com/vi/isKp7dSeazw/default.jpg","False","False","찬혁: 하나부터 열까지 다 널 위한 소리~       내 말 듣기 싫은 너에게는 뻔한 잔소리~수현: 그만하자~ 그만하자~#악뮤 #현실남매 #정반대[JTBC봐야지] 구독하기☞ http://asq.kr/VgFZ3------------------------------------------------------* 영상 속 프로그램은?【독립만세｜Alone Nice】https://tv.jtbc.joins.com/alonenice------------------------------------------------------"
"zGlN_ULl1Ko","Ha-Seong Kim defensive highlights | 김하성 수비 하이라이트","2021-05-16T21:50:22Z","UCdhukF6o5_ENjbf_9oNGXNQ","San Diego Padres","17","21.18.05","[none]","405965","6867","108","1051","https://i.ytimg.com/vi/zGlN_ULl1Ko/default.jpg","False","False","Padres rookie infielder Ha-Seong Kim, the winner of three straight KBO League Golden Glove Awards, continues to impress on defense! Watch his best plays of the season so far at second base, third base and shortstop.KBO 리그 3연속 골드글러브 수상자이며 파드리스의 신인 내야수 김하성이 계속 좋은 수비를 보여주고 있습니다! 올 시즌 2루, 3루, 그리고 유격수로 보여준 최고의 플레이들을 감상해 보세요.Like and subscribe for more videos from the San Diego Padres: https://atmlb.com/3ef1LEMFollow us » http://linktr.ee/padresGet your gear » http://padres.com/shop2021 on sale now » http://padres.com/ticketsDownload the MLB App » http://mlb.com/padres/apps/mlb-app"
"tkzYyEp4zB4","Next Level","2021-05-17T09:01:39Z","UCEdZAdnnKqbaHOlv8nM6OtA","aespa - Topic","10","21.18.05","aespa|Next Level","748046","27191","974","18","https://i.ytimg.com/vi/tkzYyEp4zB4/default.jpg","False","False","Provided to YouTube by SM EntertainmentNext Level · aespaNext Level℗ 2021 SM EntertainmentReleased on: 2021-05-17Lyricist: YOO YOUNG JINComposer: Mario MarchettiComposer: Adam McInnisComposer: YOO YOUNG JINArranger: Mario MarchettiArranger: Adam McInnisArranger: YOO YOUNG JINComposer: Sophie CurtisAuto-generated by YouTube."
"IZG5d1kpB5s","임영웅 I'm Not The Only One #Shorts","2021-05-16T15:46:11Z","UCpH3rUuBQH9CkjXRumRWZIQ","임영웅 Shorts","22","21.18.05","[none]","711538","46088","1702","7871","https://i.ytimg.com/vi/IZG5d1kpB5s/default.jpg","False","False","#Shorts #임영웅 #Limyoungwoongi'm not the only one녹화전 목 푸는 영웅"
"NGNrQovR5w4","최강의 특전팀 흑표부대에 강철부대 박준우가 있었다!ㅣ박군 특전사 현역시절ㅣ최강 특전사 흑표부대 3중대 혹한기 생존 훈련ㅣ다큐 인","2021-05-17T05:00:11Z","UCFCtZJTuJhE18k8IXwmXTYQ","EBSDocumentary (EBS 다큐)","19","21.18.05","EBS|EBS documentary|EBS 다큐멘터리|다큐|docu|박준우|박군|흑표부대|수색대|특전사|군인|국방|밀리터리|강철부대|강철부대 박준우|강철부대 박군","305750","3870","89","691","https://i.ytimg.com/vi/NGNrQovR5w4/default.jpg","False","False","명실상부 대한민국 대표 특수부대 육군 특전사.'안 되면 되게 하라'는 부대 신조 아래 대한민국 육군의 특수부대로서 끊임없는 훈련을 거듭하고 있다.최강의 전천후 만능부대 특전사, 그들 중 최강의 특전팀 '올해의 탑팀'에 흑표부대 사자대대 3중대가 선발 되었다.특전사 요원들 중에서도 최고로 인정받은 탑팀인 이들의 8박 9일 간의 설한지 극복 및 생존 훈련을 밀착 취재 한다.✔ 프로그램명: 다큐 인 - 최강 특전사 흑표부대 혹한기 설원에 서다 1~2부✔ 방송 일자: 2009.01.12#특전사 #박군 #박준우"
"JzeZ908rQow","[#띵장면] 아들 괴롭힌 애 엄마 찾아가 매운맛 싸대기로 참교육하는 옥자연! 보는 사람 마저 기죽이는 카리스마 눈빛│#마인 #디글","2021-05-17T06:25:01Z","UCWYzc_p0GgfCepIWDHGFmEg","디글 :Diggle","24","21.18.05","Diggle|Diggle 마인|tvN|tvN 마인|강자경|경의로운 소문|김서형|드라마 마인|디글|디글 마인|띵장면|마인|마인 1화|마인 2화|마인 김서형|마인 넷플릭스|마인 다시보기|마인 대본리딩|마인 드라마|마인 스카이캐슬|마인 시청률|마인 이보영|마인 재방송|마인 정주행|마인 차학연|마인 티빙|마인 펜트하우스|마인 하이라이트|막장드라마|메이드 정이서|미스터리|박원숙|박혁권|빈센조 다음드라마|빈센조 후속|사이다|서희수|스릴러|스카이캐슬 김서형|스캐 김서형|여성 드라마|옥자연|워맨스|이보영|이보영 드라마|이보영 딕션|이보영 아나운서|이보영 예능|이보영 지성|이현욱|재벌|재벌 드라마|재벌3세|재벌집|정동환|정서현|정이서|정이서 메이드|정이서 차학연|정현준|지성 이보영|차학연|차학연 정이서|참교육|티빙 마인|펜트하우스2|펜트하우스3|펜하","981857","7260","182","906","https://i.ytimg.com/vi/JzeZ908rQow/default.jpg","False","False","#띵장면 #마인 #Diggle #디글방금 한 그 드라마 '명장면' 골라보기🎬Let's giggle, :Diggle!방송국놈들이 덕질하는 채널 '디글'구독하기 ☞ https://www.youtube.com/c/디글Diggle"
"fJgigECe7DE","머니게임 7화 리뷰  재밌었어 인정?","2021-05-16T08:30:55Z","UCDV9zgWo7b6nPg7i49oRQ5Q","논리왕 전기","22","21.18.05","[none]","2154894","28531","856","9819","https://i.ytimg.com/vi/fJgigECe7DE/default.jpg","False","False","타인을 향한 비방은 예고없이 삭제될 수 있습니다#머니게임 #진용진 #전기 #파이 #가오가이 #공혁준 #1번 #4번 #6번 #7번"
"53nbU26EgB8","'전기'한테 한마디 하는 육지담,머니게임 리뷰 [육지담]","2021-05-15T11:26:54Z","UC-swYD-2HDI8__JkO6QKc3w","육지담","22","21.18.05","육지담|지담|쇼미더머니|쇼미3|쇼미|랩퍼|여자 랩퍼|머니게임|전기|논리왕전기|육지담 전기|전담커플|육지담 파이|파이|전기 육지담|육지담 정신병|머니게임 갤러리|육지담 머니게임|전기 파이|육지담 사과문","1460912","3713","29756","14842","https://i.ytimg.com/vi/53nbU26EgB8/default.jpg","False","False","전기야 나와서보자 ^^리뷰 영상 출처https://youtu.be/53nbU26EgB8"
"VBS6o29bJns","천상의 하모니란 이런 것! 린(LYn)X이무진(Lee Mujin)의 '두 사람'♬ | 비긴어게인 오픈마이크","2021-05-17T09:00:14Z","UC8WoHUeN-eLynnLKGkwajYQ","Beginagain 비긴어게인","24","21.18.05","비긴어게인|오픈마이크|비긴어게인오픈마이크|이무진|린|두사람|성시경|이무진두사람|린두사람|성시경두사람|듀엣|바다|버스킹|라이브|경기도|화성|전곡항|화성전곡항버스킹|바다버스킹|싱어게인|유명가수전","323405","9244","97","686","https://i.ytimg.com/vi/VBS6o29bJns/default.jpg","False","False","천상의 하모니란 이런 것! 린(LYn)X이무진(Lee Mujin)의 '두 사람'♬ | 비긴어게인 오픈마이크#오픈마이크 #린 #이무진원곡 : 성시경비긴어게인 구독하기 ▶ https://bit.ly/35Uzq4q-------------------------------------------------------------------------------------------비긴어게인 오픈마이크는 촬영지의 협조를 받아방역 규칙을 준수하며 안전하게 촬영을 진행했습니다.-------------------------------------------------------------------------------------------"
